Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	Source of gene name
11	134274245	134319564	GLB1L3	HGNC Symbol
11	65333852	65354262	DPF2	HGNC Symbol
11	65333852	65354262	DPF2	HGNC Symbol
11	19117099	19176422	ZDHHC13	HGNC Symbol
11	19117099	19176422	ZDHHC13	HGNC Symbol
11	65354751	65357613	TIGD3	HGNC Symbol
11	65375192	65383701	SLC25A45	HGNC Symbol
11	65375192	65383701	SLC25A45	HGNC Symbol
11	65375192	65383701	SLC25A45	HGNC Symbol
11	65375192	65383701	SLC25A45	HGNC Symbol
11	65375192	65383701	SLC25A45	HGNC Symbol
11	20669551	21575681	NELL1	HGNC Symbol
11	20669551	21575681	NELL1	HGNC Symbol
11	20669551	21575681	NELL1	HGNC Symbol
11	20669551	21575681	NELL1	HGNC Symbol
11	125776113	125778819	PATE2	HGNC Symbol
11	125788111	125791600	PATE3	HGNC Symbol
11	125833316	125840069	PATE4	HGNC Symbol
11	125893485	125903221	PUS3	HGNC Symbol
11	125893485	125903221	PUS3	HGNC Symbol
11	125893485	125903221	PUS3	HGNC Symbol
11	125883614	125900648	HYLS1	HGNC Symbol
11	125883614	125900648	HYLS1	HGNC Symbol
11	125883614	125900648	HYLS1	HGNC Symbol
11	125903348	125943702	DDX25	HGNC Symbol
11	125903348	125943702	DDX25	HGNC Symbol
11	72080331	72110782	LRTOMT	HGNC Symbol
11	72080331	72110782	LRTOMT	HGNC Symbol
11	72080331	72110782	LRTOMT	HGNC Symbol
11	72080331	72110782	LRTOMT	HGNC Symbol
11	72080331	72110782	LRTOMT	HGNC Symbol
11	72080331	72110782	LRTOMT	HGNC Symbol
11	72080331	72110782	LRTOMT	HGNC Symbol
11	72080331	72110782	LRTOMT	HGNC Symbol
11	72080331	72110782	LRTOMT	HGNC Symbol
11	72080331	72110782	LRTOMT	HGNC Symbol
11	72080331	72110782	LRTOMT	HGNC Symbol
11	72080331	72110782	LRTOMT	HGNC Symbol
11	72080331	72110782	LRTOMT	HGNC Symbol
11	72002864	72080693	NUMA1	HGNC Symbol
11	72002864	72080693	NUMA1	HGNC Symbol
11	72002864	72080693	NUMA1	HGNC Symbol
11	134224671	134247788	VPS26B	HGNC Symbol
11	134224671	134247788	VPS26B	HGNC Symbol
11	134150119	134225454	NCAPD3	HGNC Symbol
11	47589667	47594411	C1QTNF4	HGNC Symbol
11	134331874	134378341	GLB1L2	HGNC Symbol
11	134331874	134378341	GLB1L2	HGNC Symbol
11	21799934	22283357	ANO5	HGNC Symbol
11	134068925	134152001	JAM3	HGNC Symbol
11	134068925	134152001	JAM3	HGNC Symbol
11	65116403	65117708	ZNHIT2	HGNC Symbol
11	117314557	117413266	CEP164	HGNC Symbol
11	3826978	3840959	RHOG	HGNC Symbol
11	3826978	3840959	RHOG	HGNC Symbol
11	3826978	3840959	RHOG	HGNC Symbol
11	3826978	3840959	RHOG	HGNC Symbol
11	65121780	65134533	SYVN1	HGNC Symbol
11	65121780	65134533	SYVN1	HGNC Symbol
11	65121780	65134533	SYVN1	HGNC Symbol
11	47617315	47642607	MTCH2	HGNC Symbol
11	117232625	117286454	RNF214	HGNC Symbol
11	117232625	117286454	RNF214	HGNC Symbol
11	117232625	117286454	RNF214	HGNC Symbol
11	3854527	4093210	STIM1	HGNC Symbol
11	3854527	4093210	STIM1	HGNC Symbol
11	3854527	4093210	STIM1	HGNC Symbol
11	17351726	17377341	NCR3LG1	HGNC Symbol
11	17351726	17377341	NCR3LG1	HGNC Symbol
11	65120630	65122177	FAU	HGNC Symbol
11	65120630	65122177	FAU	HGNC Symbol
11	65120630	65122177	FAU	HGNC Symbol
11	117285207	117316259	BACE1	HGNC Symbol
11	117285207	117316259	BACE1	HGNC Symbol
11	117285207	117316259	BACE1	HGNC Symbol
11	117285207	117316259	BACE1	HGNC Symbol
11	117285207	117316259	BACE1	HGNC Symbol
11	117285207	117316259	BACE1	HGNC Symbol
11	65122183	65127371	MRPL49	HGNC Symbol
11	65122183	65127371	MRPL49	HGNC Symbol
11	118226690	118252365	MPZL3	HGNC Symbol
11	118226690	118252365	MPZL3	HGNC Symbol
11	85957175	86069882	PICALM	HGNC Symbol
11	85957175	86069882	PICALM	HGNC Symbol
11	85957175	86069882	PICALM	HGNC Symbol
11	85957175	86069882	PICALM	HGNC Symbol
11	17385859	17389331	KCNJ11	HGNC Symbol
11	17385859	17389331	KCNJ11	HGNC Symbol
11	72085895	72103297	LAMTOR1	HGNC Symbol
11	134378504	134412242	B3GAT1	HGNC Symbol
11	134378504	134412242	B3GAT1	HGNC Symbol
11	134378504	134412242	B3GAT1	HGNC Symbol
11	71998541	72005715	IL18BP	HGNC Symbol
11	71998541	72005715	IL18BP	HGNC Symbol
11	71998541	72005715	IL18BP	HGNC Symbol
11	71998541	72005715	IL18BP	HGNC Symbol
11	71998541	72005715	IL18BP	HGNC Symbol
11	71998541	72005715	IL18BP	HGNC Symbol
11	71998541	72005715	IL18BP	HGNC Symbol
11	71998541	72005715	IL18BP	HGNC Symbol
11	71998541	72005715	IL18BP	HGNC Symbol
11	101029624	101130524	PGR	HGNC Symbol
11	101029624	101130524	PGR	HGNC Symbol
11	120511700	120988904	GRIK4	HGNC Symbol
11	120511700	120988904	GRIK4	HGNC Symbol
11	120511700	120988904	GRIK4	HGNC Symbol
11	72106378	72112780	ANAPC15	HGNC Symbol
11	72106378	72112780	ANAPC15	HGNC Symbol
11	72106378	72112780	ANAPC15	HGNC Symbol
11	72106378	72112780	ANAPC15	HGNC Symbol
11	72106378	72112780	ANAPC15	HGNC Symbol
11	72106378	72112780	ANAPC15	HGNC Symbol
11	72106378	72112780	ANAPC15	HGNC Symbol
11	72106378	72112780	ANAPC15	HGNC Symbol
11	72106378	72112780	ANAPC15	HGNC Symbol
11	72106378	72112780	ANAPC15	HGNC Symbol
11	22338097	22379503	SLC17A6	HGNC Symbol
11	47659591	47715389	AGBL2	HGNC Symbol
11	118253416	118264536	MPZL2	HGNC Symbol
11	118253416	118264536	MPZL2	HGNC Symbol
11	65386621	65413525	FRMD8	HGNC Symbol
11	65386621	65413525	FRMD8	HGNC Symbol
11	65386621	65413525	FRMD8	HGNC Symbol
11	118304545	118316175	CD3E	HGNC Symbol
11	47716517	47767443	FNBP4	HGNC Symbol
11	22625509	22813055	GAS2	HGNC Symbol
11	22625509	22813055	GAS2	HGNC Symbol
11	22622890	22625841	FANCF	HGNC Symbol
11	125955796	126063335	CDON	HGNC Symbol
11	125955796	126063335	CDON	HGNC Symbol
11	118338954	118342744	CD3D	HGNC Symbol
11	118338954	118342744	CD3D	HGNC Symbol
11	22846931	22860426	CCDC179	HGNC Symbol
11	22813799	22830299	SVIP	HGNC Symbol
11	121101173	121191493	TECTA	HGNC Symbol
11	121101173	121191493	TECTA	HGNC Symbol
11	101451564	101872562	TRPC6	HGNC Symbol
11	121024072	121090775	TBCEL	HGNC Symbol
11	121024072	121090775	TBCEL	HGNC Symbol
11	118344344	118355161	CD3G	HGNC Symbol
11	101915012	102001058	CEP126	HGNC Symbol
11	101890674	101916522	ANGPTL5	HGNC Symbol
11	86244753	86278813	EED	HGNC Symbol
11	86244753	86278813	EED	HGNC Symbol
11	86244753	86278813	EED	HGNC Symbol
11	47778087	47848555	NUP160	HGNC Symbol
11	47778087	47848555	NUP160	HGNC Symbol
11	102047437	102084554	CFAP300	HGNC Symbol
11	102047437	102084554	CFAP300	HGNC Symbol
11	102110447	102233424	YAP1	HGNC Symbol
11	102110447	102233424	YAP1	HGNC Symbol
11	102110447	102233424	YAP1	HGNC Symbol
11	102110447	102233424	YAP1	HGNC Symbol
11	102110447	102233424	YAP1	HGNC Symbol
11	102110447	102233424	YAP1	HGNC Symbol
11	102110447	102233424	YAP1	HGNC Symbol
11	102110447	102233424	YAP1	HGNC Symbol
11	24496970	25082638	LUZP2	HGNC Symbol
11	24496970	25082638	LUZP2	HGNC Symbol
11	24496970	25082638	LUZP2	HGNC Symbol
11	65538805	65558930	LTBP3	HGNC Symbol
11	65538805	65558930	LTBP3	HGNC Symbol
11	4094707	4138932	RRM1	HGNC Symbol
11	4094707	4138932	RRM1	HGNC Symbol
11	26309599	26663289	ANO3	HGNC Symbol
11	26309599	26663289	ANO3	HGNC Symbol
11	102317450	102339403	BIRC3	HGNC Symbol
11	102317450	102339403	BIRC3	HGNC Symbol
11	102317450	102339403	BIRC3	HGNC Symbol
11	65525077	65538704	SCYL1	HGNC Symbol
11	65525077	65538704	SCYL1	HGNC Symbol
11	26559032	26572263	MUC15	HGNC Symbol
11	26559032	26572263	MUC15	HGNC Symbol
11	26559032	26572263	MUC15	HGNC Symbol
11	26559032	26572263	MUC15	HGNC Symbol
11	26559032	26572263	MUC15	HGNC Symbol
11	86302211	86345943	HIKESHI	HGNC Symbol
11	118572390	118603033	ARCN1	HGNC Symbol
11	118572390	118603033	ARCN1	HGNC Symbol
11	102347211	102378670	BIRC2	HGNC Symbol
11	102347211	102378670	BIRC2	HGNC Symbol
11	102347211	102378670	BIRC2	HGNC Symbol
11	118531041	118547280	TMEM25	HGNC Symbol
11	118531041	118547280	TMEM25	HGNC Symbol
11	118531041	118547280	TMEM25	HGNC Symbol
11	118531041	118547280	TMEM25	HGNC Symbol
11	118531041	118547280	TMEM25	HGNC Symbol
11	118531041	118547280	TMEM25	HGNC Symbol
11	118531041	118547280	TMEM25	HGNC Symbol
11	118531041	118547280	TMEM25	HGNC Symbol
11	102396332	102470384	TMEM123	HGNC Symbol
11	47980558	48170841	PTPRJ	HGNC Symbol
11	47980558	48170841	PTPRJ	HGNC Symbol
11	48216810	48217739	OR4B1	HGNC Symbol
11	118527472	118531197	TTC36	HGNC Symbol
11	118359585	118399211	UBE4A	HGNC Symbol
11	118359585	118399211	UBE4A	HGNC Symbol
11	118436464	118526832	KMT2A	HGNC Symbol
11	118436464	118526832	KMT2A	HGNC Symbol
11	48263861	48264778	OR4X1	HGNC Symbol
11	118544528	118572970	IFT46	HGNC Symbol
11	118544528	118572970	IFT46	HGNC Symbol
11	118401606	118431496	ATP5MG	HGNC Symbol
11	86374736	86423109	CCDC81	HGNC Symbol
11	86374736	86423109	CCDC81	HGNC Symbol
11	4384897	4393702	TRIM21	HGNC Symbol
11	4449295	4450361	OR52K2	HGNC Symbol
11	46677080	46700619	ARHGAP1	HGNC Symbol
11	95768953	95790409	FAM76B	HGNC Symbol
11	95768953	95790409	FAM76B	HGNC Symbol
11	85647967	85656547	TMEM126A	HGNC Symbol
11	85647967	85656547	TMEM126A	HGNC Symbol
11	85647967	85656547	TMEM126A	HGNC Symbol
11	17077730	17207983	PIK3C2A	HGNC Symbol
11	20363685	20383783	HTATIP2	HGNC Symbol
11	20363685	20383783	HTATIP2	HGNC Symbol
11	20363685	20383783	HTATIP2	HGNC Symbol
11	20363685	20383783	HTATIP2	HGNC Symbol
11	20363685	20383783	HTATIP2	HGNC Symbol
11	20363685	20383783	HTATIP2	HGNC Symbol
11	20363685	20383783	HTATIP2	HGNC Symbol
11	95789965	95832693	CEP57	HGNC Symbol
11	95789965	95832693	CEP57	HGNC Symbol
11	95789965	95832693	CEP57	HGNC Symbol
11	95789965	95832693	CEP57	HGNC Symbol
11	96389989	96507574	JRKL	HGNC Symbol
11	47465933	47565569	CELF1	HGNC Symbol
11	47465933	47565569	CELF1	HGNC Symbol
11	47465933	47565569	CELF1	HGNC Symbol
11	47465933	47565569	CELF1	HGNC Symbol
11	47465933	47565569	CELF1	HGNC Symbol
11	47465933	47565569	CELF1	HGNC Symbol
11	47465933	47565569	CELF1	HGNC Symbol
11	47572197	47578976	KBTBD4	HGNC Symbol
11	47572197	47578976	KBTBD4	HGNC Symbol
11	47572197	47578976	KBTBD4	HGNC Symbol
11	47572197	47578976	KBTBD4	HGNC Symbol
11	47565430	47573461	PTPMT1	HGNC Symbol
11	47565430	47573461	PTPMT1	HGNC Symbol
11	66257294	66267860	KLC2	HGNC Symbol
11	66257294	66267860	KLC2	HGNC Symbol
11	66257294	66267860	KLC2	HGNC Symbol
11	66257294	66267860	KLC2	HGNC Symbol
11	66257294	66267860	KLC2	HGNC Symbol
11	62856102	62888875	SLC3A2	HGNC Symbol
11	62856102	62888875	SLC3A2	HGNC Symbol
11	62856102	62888875	SLC3A2	HGNC Symbol
11	62856102	62888875	SLC3A2	HGNC Symbol
11	47269161	47330031	MADD	HGNC Symbol
11	47269161	47330031	MADD	HGNC Symbol
11	47269161	47330031	MADD	HGNC Symbol
11	47269161	47330031	MADD	HGNC Symbol
11	47269161	47330031	MADD	HGNC Symbol
11	47269161	47330031	MADD	HGNC Symbol
11	47269161	47330031	MADD	HGNC Symbol
11	47269161	47330031	MADD	HGNC Symbol
11	47269161	47330031	MADD	HGNC Symbol
11	130226677	130314917	ZBTB44	HGNC Symbol
11	130226677	130314917	ZBTB44	HGNC Symbol
11	130226677	130314917	ZBTB44	HGNC Symbol
11	130226677	130314917	ZBTB44	HGNC Symbol
11	65714005	65720947	RNASEH2C	HGNC Symbol
11	65714005	65720947	RNASEH2C	HGNC Symbol
11	65714005	65720947	RNASEH2C	HGNC Symbol
11	65714005	65720947	RNASEH2C	HGNC Symbol
11	119149052	119162653	ABCG4	HGNC Symbol
11	119149052	119162653	ABCG4	HGNC Symbol
11	119149052	119162653	ABCG4	HGNC Symbol
11	116773799	116788039	ZPR1	HGNC Symbol
11	61873519	61892051	FADS3	HGNC Symbol
11	66284580	66289145	YIF1A	HGNC Symbol
11	66284580	66289145	YIF1A	HGNC Symbol
11	57667747	57701182	ZDHHC5	HGNC Symbol
11	66278175	66285301	CNIH2	HGNC Symbol
11	1828307	1837521	SYT8	HGNC Symbol
11	747415	765012	TALDO1	HGNC Symbol
11	66268590	66277492	RAB1B	HGNC Symbol
11	112175467	112224699	BCO2	HGNC Symbol
11	112175467	112224699	BCO2	HGNC Symbol
11	112175467	112224699	BCO2	HGNC Symbol
11	112175467	112224699	BCO2	HGNC Symbol
11	112175467	112224699	BCO2	HGNC Symbol
11	112175467	112224699	BCO2	HGNC Symbol
11	11963106	12009769	DKK3	HGNC Symbol
11	11963106	12009769	DKK3	HGNC Symbol
11	11963106	12009769	DKK3	HGNC Symbol
11	64851642	64888296	EHD1	HGNC Symbol
11	64851642	64888296	EHD1	HGNC Symbol
11	64851642	64888296	EHD1	HGNC Symbol
11	73376399	73397474	RELT	HGNC Symbol
11	73376399	73397474	RELT	HGNC Symbol
11	112086824	112120016	SDHD	HGNC Symbol
11	112086824	112120016	SDHD	HGNC Symbol
11	112086824	112120016	SDHD	HGNC Symbol
11	112086824	112120016	SDHD	HGNC Symbol
11	112086824	112120016	SDHD	HGNC Symbol
11	18455824	18479600	LDHAL6A	HGNC Symbol
11	18455824	18479600	LDHAL6A	HGNC Symbol
11	18468336	18526951	TSG101	HGNC Symbol
11	112167372	112172559	TEX12	HGNC Symbol
11	112167372	112172559	TEX12	HGNC Symbol
11	57703714	57712323	MED19	HGNC Symbol
11	57703714	57712323	MED19	HGNC Symbol
11	112143253	112164096	IL18	HGNC Symbol
11	112143253	112164096	IL18	HGNC Symbol
11	112143253	112164096	IL18	HGNC Symbol
11	93818232	93850531	VSTM5	HGNC Symbol
11	14904997	15082342	CALCB	HGNC Symbol
11	14904997	15082342	CALCB	HGNC Symbol
11	2163929	2171877	TH	HGNC Symbol
11	2163929	2171877	TH	HGNC Symbol
11	2163929	2171877	TH	HGNC Symbol
11	14966668	14972354	CALCA	HGNC Symbol
11	14966668	14972354	CALCA	HGNC Symbol
11	14966668	14972354	CALCA	HGNC Symbol
11	14966668	14972354	CALCA	HGNC Symbol
11	111540280	111561745	LAYN	HGNC Symbol
11	111540280	111561745	LAYN	HGNC Symbol
11	111540280	111561745	LAYN	HGNC Symbol
11	62908679	62921807	CHRM1	HGNC Symbol
11	61897301	61920269	RAB3IL1	HGNC Symbol
11	61897301	61920269	RAB3IL1	HGNC Symbol
11	1838981	1841680	TNNI2	HGNC Symbol
11	1838981	1841680	TNNI2	HGNC Symbol
11	1838981	1841680	TNNI2	HGNC Symbol
11	1838981	1841680	TNNI2	HGNC Symbol
11	78100936	78139653	ALG8	HGNC Symbol
11	78100936	78139653	ALG8	HGNC Symbol
11	78100936	78139653	ALG8	HGNC Symbol
11	94021361	94113751	HEPHL1	HGNC Symbol
11	94128841	94181968	PANX1	HGNC Symbol
11	2268495	2270952	ASCL2	HGNC Symbol
11	130404923	130428609	ADAMTS8	HGNC Symbol
11	94305592	94307721	IZUMO1R	HGNC Symbol
11	64894546	64917211	ATG2A	HGNC Symbol
11	57712593	57740973	TMX2	HGNC Symbol
11	57712593	57740973	TMX2	HGNC Symbol
11	2295645	2303049	C11orf21	HGNC Symbol
11	2295645	2303049	C11orf21	HGNC Symbol
11	130448974	130476641	ADAMTS15	HGNC Symbol
11	2301997	2318200	TSPAN32	HGNC Symbol
11	57753243	57819546	CTNND1	HGNC Symbol
11	57753243	57819546	CTNND1	HGNC Symbol
11	57753243	57819546	CTNND1	HGNC Symbol
11	57753243	57819546	CTNND1	HGNC Symbol
11	57753243	57819546	CTNND1	HGNC Symbol
11	57753243	57819546	CTNND1	HGNC Symbol
11	57753243	57819546	CTNND1	HGNC Symbol
11	57753243	57819546	CTNND1	HGNC Symbol
11	57753243	57819546	CTNND1	HGNC Symbol
11	57753243	57819546	CTNND1	HGNC Symbol
11	57753243	57819546	CTNND1	HGNC Symbol
11	57753243	57819546	CTNND1	HGNC Symbol
11	57753243	57819546	CTNND1	HGNC Symbol
11	57753243	57819546	CTNND1	HGNC Symbol
11	57753243	57819546	CTNND1	HGNC Symbol
11	57753243	57819546	CTNND1	HGNC Symbol
11	57753243	57819546	CTNND1	HGNC Symbol
11	57753243	57819546	CTNND1	HGNC Symbol
11	57753243	57819546	CTNND1	HGNC Symbol
11	57753243	57819546	CTNND1	HGNC Symbol
11	57753243	57819546	CTNND1	HGNC Symbol
11	57753243	57819546	CTNND1	HGNC Symbol
11	57753243	57819546	CTNND1	HGNC Symbol
11	116789367	116792420	APOA5	HGNC Symbol
11	116789367	116792420	APOA5	HGNC Symbol
11	94377316	94401419	GPR83	HGNC Symbol
11	94377316	94401419	GPR83	HGNC Symbol
11	62936385	62984983	SLC22A6	HGNC Symbol
11	62936385	62984983	SLC22A6	HGNC Symbol
11	62936385	62984983	SLC22A6	HGNC Symbol
11	62936385	62984983	SLC22A6	HGNC Symbol
11	116820700	116823304	APOA4	HGNC Symbol
11	111602449	111730855	SIK2	HGNC Symbol
11	111726908	111766427	PPP2R1B	HGNC Symbol
11	111726908	111766427	PPP2R1B	HGNC Symbol
11	111726908	111766427	PPP2R1B	HGNC Symbol
11	111726908	111766427	PPP2R1B	HGNC Symbol
11	111726908	111766427	PPP2R1B	HGNC Symbol
11	64934471	64935893	GPHA2	HGNC Symbol
11	64934471	64935893	GPHA2	HGNC Symbol
11	116829706	116833072	APOC3	HGNC Symbol
11	64917553	64934475	PPP2R5B	HGNC Symbol
11	61959718	61967634	FTH1	HGNC Symbol
11	61959718	61967634	FTH1	HGNC Symbol
11	119166568	119184016	NLRX1	HGNC Symbol
11	119166568	119184016	NLRX1	HGNC Symbol
11	119166568	119184016	NLRX1	HGNC Symbol
11	119166568	119184016	NLRX1	HGNC Symbol
11	61950063	61965515	BEST1	HGNC Symbol
11	61950063	61965515	BEST1	HGNC Symbol
11	61950063	61965515	BEST1	HGNC Symbol
11	61950063	61965515	BEST1	HGNC Symbol
11	767220	777488	GATD1	HGNC Symbol
11	767220	777488	GATD1	HGNC Symbol
11	767220	777488	GATD1	HGNC Symbol
11	130875436	130916509	SNX19	HGNC Symbol
11	130875436	130916509	SNX19	HGNC Symbol
11	130875436	130916509	SNX19	HGNC Symbol
11	130875436	130916509	SNX19	HGNC Symbol
11	130875436	130916509	SNX19	HGNC Symbol
11	12094008	12359144	MICAL2	HGNC Symbol
11	12094008	12359144	MICAL2	HGNC Symbol
11	12094008	12359144	MICAL2	HGNC Symbol
11	64937517	64972108	MAJIN	HGNC Symbol
11	64937517	64972108	MAJIN	HGNC Symbol
11	64937517	64972108	MAJIN	HGNC Symbol
11	64987945	64997018	BATF2	HGNC Symbol
11	64987945	64997018	BATF2	HGNC Symbol
11	64987945	64997018	BATF2	HGNC Symbol
11	116843402	117098437	SIK3	HGNC Symbol
11	116843402	117098437	SIK3	HGNC Symbol
11	78188812	78215232	USP35	HGNC Symbol
11	94415578	94493908	MRE11	HGNC Symbol
11	94415578	94493908	MRE11	HGNC Symbol
11	94415578	94493908	MRE11	HGNC Symbol
11	119417378	119424985	THY1	HGNC Symbol
11	119417378	119424985	THY1	HGNC Symbol
11	78435968	78574874	NARS2	HGNC Symbol
11	78435968	78574874	NARS2	HGNC Symbol
11	119355215	119381711	USP2	HGNC Symbol
11	119355215	119381711	USP2	HGNC Symbol
11	119355215	119381711	USP2	HGNC Symbol
11	78215293	78418348	GAB2	HGNC Symbol
11	78215293	78418348	GAB2	HGNC Symbol
11	78171249	78188626	KCTD21	HGNC Symbol
11	128458761	128587558	ETS1	HGNC Symbol
11	128458761	128587558	ETS1	HGNC Symbol
11	128458761	128587558	ETS1	HGNC Symbol
11	128458761	128587558	ETS1	HGNC Symbol
11	116835751	116837950	APOA1	HGNC Symbol
11	116835751	116837950	APOA1	HGNC Symbol
11	116835751	116837950	APOA1	HGNC Symbol
11	116835751	116837950	APOA1	HGNC Symbol
11	3217944	3218813	MRGPRG	HGNC Symbol
11	3225035	3232386	MRGPRE	HGNC Symbol
11	19182037	19210571	CSRP3	HGNC Symbol
11	19182037	19210571	CSRP3	HGNC Symbol
11	19182037	19210571	CSRP3	HGNC Symbol
11	1852970	1892267	LSP1	HGNC Symbol
11	1852970	1892267	LSP1	HGNC Symbol
11	1852970	1892267	LSP1	HGNC Symbol
11	1852970	1892267	LSP1	HGNC Symbol
11	1852970	1892267	LSP1	HGNC Symbol
11	19224063	19241620	E2F8	HGNC Symbol
11	19224063	19241620	E2F8	HGNC Symbol
11	19224063	19241620	E2F8	HGNC Symbol
11	128686535	128813267	FLI1	HGNC Symbol
11	128686535	128813267	FLI1	HGNC Symbol
11	128686535	128813267	FLI1	HGNC Symbol
11	128686535	128813267	FLI1	HGNC Symbol
11	65014160	65022184	ARL2	HGNC Symbol
11	65014160	65022184	ARL2	HGNC Symbol
11	65014160	65022184	ARL2	HGNC Symbol
11	34915829	35020591	PDHX	HGNC Symbol
11	34915829	35020591	PDHX	HGNC Symbol
11	34915829	35020591	PDHX	HGNC Symbol
11	65027439	65040572	SNX15	HGNC Symbol
11	65027439	65040572	SNX15	HGNC Symbol
11	34853094	34916379	APIP	HGNC Symbol
11	3339261	3379222	ZNF195	HGNC Symbol
11	3339261	3379222	ZNF195	HGNC Symbol
11	3339261	3379222	ZNF195	HGNC Symbol
11	3339261	3379222	ZNF195	HGNC Symbol
11	3339261	3379222	ZNF195	HGNC Symbol
11	3339261	3379222	ZNF195	HGNC Symbol
11	3339261	3379222	ZNF195	HGNC Symbol
11	3339261	3379222	ZNF195	HGNC Symbol
11	3339261	3379222	ZNF195	HGNC Symbol
11	112226367	112269955	PTS	HGNC Symbol
11	119185457	119190223	PDZD3	HGNC Symbol
11	119185457	119190223	PDZD3	HGNC Symbol
11	112248479	112260860	PLET1	HGNC Symbol
11	119189638	119196769	CCDC153	HGNC Symbol
11	119189638	119196769	CCDC153	HGNC Symbol
11	18529609	18588747	UEVLD	HGNC Symbol
11	18529609	18588747	UEVLD	HGNC Symbol
11	18529609	18588747	UEVLD	HGNC Symbol
11	18529609	18588747	UEVLD	HGNC Symbol
11	18529609	18588747	UEVLD	HGNC Symbol
11	18529609	18588747	UEVLD	HGNC Symbol
11	18529609	18588747	UEVLD	HGNC Symbol
11	66291894	66296664	TMEM151A	HGNC Symbol
11	66314494	66317044	CD248	HGNC Symbol
11	12674421	12944737	TEAD1	HGNC Symbol
11	12674421	12944737	TEAD1	HGNC Symbol
11	128836315	128867373	KCNJ1	HGNC Symbol
11	128836315	128867373	KCNJ1	HGNC Symbol
11	128836315	128867373	KCNJ1	HGNC Symbol
11	128836315	128867373	KCNJ1	HGNC Symbol
11	128836315	128867373	KCNJ1	HGNC Symbol
11	66330241	66336840	RIN1	HGNC Symbol
11	62123998	62153169	INCENP	HGNC Symbol
11	62123998	62153169	INCENP	HGNC Symbol
11	66337333	66345125	BRMS1	HGNC Symbol
11	66337333	66345125	BRMS1	HGNC Symbol
11	65040901	65044828	SAC3D1	HGNC Symbol
11	65040901	65044828	SAC3D1	HGNC Symbol
11	65040901	65044828	SAC3D1	HGNC Symbol
11	65044818	65058553	NAALADL1	HGNC Symbol
11	119623408	119729200	NECTIN1	HGNC Symbol
11	119623408	119729200	NECTIN1	HGNC Symbol
11	119623408	119729200	NECTIN1	HGNC Symbol
11	57741250	57743554	SELENOH	HGNC Symbol
11	57741250	57743554	SELENOH	HGNC Symbol
11	57743514	57751781	BTBD18	HGNC Symbol
11	57743514	57751781	BTBD18	HGNC Symbol
11	112961247	113278436	NCAM1	HGNC Symbol
11	112961247	113278436	NCAM1	HGNC Symbol
11	112961247	113278436	NCAM1	HGNC Symbol
11	112961247	113278436	NCAM1	HGNC Symbol
11	112961247	113278436	NCAM1	HGNC Symbol
11	128899565	128906069	C11orf45	HGNC Symbol
11	128899565	128906069	C11orf45	HGNC Symbol
11	128891356	128921163	KCNJ5	HGNC Symbol
11	128891356	128921163	KCNJ5	HGNC Symbol
11	128891356	128921163	KCNJ5	HGNC Symbol
11	119308529	119321521	AP002956.1	Clone-based (Ensembl) gene
11	119206276	119313926	CBL	HGNC Symbol
11	15112424	15247208	INSC	HGNC Symbol
11	15112424	15247208	INSC	HGNC Symbol
11	15112424	15247208	INSC	HGNC Symbol
11	15112424	15247208	INSC	HGNC Symbol
11	15112424	15247208	INSC	HGNC Symbol
11	128934731	128943399	TP53AIP1	HGNC Symbol
11	128934731	128943399	TP53AIP1	HGNC Symbol
11	128934731	128943399	TP53AIP1	HGNC Symbol
11	128934731	128943399	TP53AIP1	HGNC Symbol
11	128934731	128943399	TP53AIP1	HGNC Symbol
11	13009577	13012106	RASSF10	HGNC Symbol
11	18606403	18634791	SPTY2D1	HGNC Symbol
11	18588781	18610255	SPTY2D1OS	HGNC Symbol
11	18588781	18610255	SPTY2D1OS	HGNC Symbol
11	78652831	79440948	TENM4	HGNC Symbol
11	7665100	7677222	CYB5R2	HGNC Symbol
11	7665100	7677222	CYB5R2	HGNC Symbol
11	46332905	46380554	DGKZ	HGNC Symbol
11	46332905	46380554	DGKZ	HGNC Symbol
11	46332905	46380554	DGKZ	HGNC Symbol
11	46332905	46380554	DGKZ	HGNC Symbol
11	46332905	46380554	DGKZ	HGNC Symbol
11	46332905	46380554	DGKZ	HGNC Symbol
11	46332905	46380554	DGKZ	HGNC Symbol
11	62190216	62193539	SCGB1D1	HGNC Symbol
11	62242239	62244812	SCGB1D2	HGNC Symbol
11	62208673	62213943	SCGB2A1	HGNC Symbol
11	117144284	117176894	PAFAH1B2	HGNC Symbol
11	117144284	117176894	PAFAH1B2	HGNC Symbol
11	117144284	117176894	PAFAH1B2	HGNC Symbol
11	117144284	117176894	PAFAH1B2	HGNC Symbol
11	128965060	129279324	ARHGAP32	HGNC Symbol
11	128965060	129279324	ARHGAP32	HGNC Symbol
11	128965060	129279324	ARHGAP32	HGNC Symbol
11	18693122	18704785	TMEM86A	HGNC Symbol
11	47331406	47352702	MYBPC3	HGNC Symbol
11	82729940	82733864	FAM181B	HGNC Symbol
11	18727928	18792721	PTPN5	HGNC Symbol
11	18727928	18792721	PTPN5	HGNC Symbol
11	18727928	18792721	PTPN5	HGNC Symbol
11	94493979	94499578	ANKRD49	HGNC Symbol
11	94493979	94499578	ANKRD49	HGNC Symbol
